district_rbi,district_gadm,match_score_rbi_gadm,matched_rbi_gadm,state_gadm,is_ambiguous_match
BAJALI,,66.66666666666667,False,,False
BAKSA,Baksa,100.0,True,Assam,False
BALAGHAT,Balaghat,100.0,True,Madhya Pradesh,False
BALANGIR,Balangir,100.0,True,Odisha,False
BALESHWAR,Baleshwar,100.0,True,Odisha,False
BALLARI,,76.92307692307692,False,,False
BALLIA,Ballia,100.0,True,Uttar Pradesh,False
BALOD,Balod,100.0,True,Chhattisgarh,False
BALODABAZAR,Baloda Bazar,95.65217391304348,True,Chhattisgarh,False
BALOTRA,,76.92307692307692,False,,False
BALRAMPUR,Balrampur,100.0,True,Chhattisgarh,True
BALRAMPUR,Balrampur,100.0,True,Uttar Pradesh,True
BANAS KANTHA,Banas Kantha,100.0,True,Gujarat,False
BANDA,Banda,100.0,True,Uttar Pradesh,False
BANDIPORA,Bandipore,88.88888888888889,True,Jammu and Kashmir,False
BANKA,Banka,100.0,True,Bihar,False
BANKURA,Bankura,100.0,True,West Bengal,False
BANSWARA,Banswara,100.0,True,Rajasthan,False
BAPATLA,,71.42857142857143,False,,False
BARA BANKI,Barabanki,94.73684210526316,True,Uttar Pradesh,False
BARAMULLA,Baramulla,100.0,True,Jammu and Kashmir,False
BARAN,Baran,100.0,True,Rajasthan,False
BAREILLY,Bareilly,100.0,True,Uttar Pradesh,False
BARGARH,Bargarh,100.0,True,Odisha,False
BARMER,Barmer,100.0,True,Rajasthan,False
BARNALA,Barnala,100.0,True,Punjab,False
BARPETA,Barpeta,100.0,True,Assam,False
BARWANI,Barwani,100.0,True,Madhya Pradesh,False
BASTAR,Bastar,100.0,True,Chhattisgarh,False
BASTI,Basti,100.0,True,Uttar Pradesh,False
BATHINDA,Bathinda,100.0,True,Punjab,False
BEAWAR,,72.72727272727273,False,,False
BEGUSARAI,Begusarai,100.0,True,Bihar,False
BELAGAVI,,66.66666666666667,False,,False
BEMETARA,Bemetara,100.0,True,Chhattisgarh,False
BENGALURU RURAL,Bangalore Rural,80.0,True,Karnataka,False
BENGALURU URBAN,,66.66666666666667,False,,False
BETUL,Betul,100.0,True,Madhya Pradesh,False
BHADRADRI (KOTHAGUDEM),,48.275862068965516,False,,False
BHADRAK,Bhadrak,100.0,True,Odisha,False
BHAGALPUR,Bhagalpur,100.0,True,Bihar,False
BHANDARA,Bhandara,100.0,True,Maharashtra,False
BHARATPUR,Bharatpur,100.0,True,Rajasthan,False
BHARUCH,Bharuch,100.0,True,Gujarat,False
BHAVNAGAR,Bhavnagar,100.0,True,Gujarat,False
BHILWARA,Bhilwara,100.0,True,Rajasthan,False
BHIND,Bhind,100.0,True,Madhya Pradesh,False
BHIWANI,Bhiwani,100.0,True,Haryana,False
BHOJPUR,Bhojpur,100.0,True,Bihar,False
BHOPAL,Bhopal,100.0,True,Madhya Pradesh,False
BID,Bid,100.0,True,Maharashtra,False
BIDAR,Bidar,100.0,True,Karnataka,False
BIJAPUR,Bijapur,100.0,True,Chhattisgarh,True
BIJAPUR,Bijapur,100.0,True,Karnataka,True
BIJNOR,Bijnor,100.0,True,Uttar Pradesh,False
BIKANER,Bikaner,100.0,True,Rajasthan,False
BILASPUR,Bilaspur,100.0,True,Chhattisgarh,True
BILASPUR,Bilaspur,100.0,True,Himachal Pradesh,True
BIRBHUM,Birbhum,100.0,True,West Bengal,False
BISHENPUR,Bishnupur,88.88888888888889,True,Manipur,False
BISWANATH,,62.5,False,,False
BOKARO,Bokaro,100.0,True,Jharkhand,False
BONGAIGAON,Bongaigaon,100.0,True,Assam,False
BOTAD,Botad,100.0,True,Gujarat,False
BOUDH,,60.0,False,,False
BUDAUN,Budaun,100.0,True,Uttar Pradesh,False
BULANDSHAHR,Bulandshahr,100.0,True,Uttar Pradesh,False
BULDHANA,Buldana,93.33333333333333,True,Maharashtra,False
BUNDI,Bundi,100.0,True,Rajasthan,False
BURHANPUR,Burhanpur,100.0,True,Madhya Pradesh,False
BUXAR,Buxar,100.0,True,Bihar,False
CACHAR,Cachar,100.0,True,Assam,False
CENTRAL DELHI,,52.17391304347826,False,,False
CHAMARAJANAGAR,Chamrajnagar,92.3076923076923,True,Karnataka,False
CHAMBA,Chamba,100.0,True,Himachal Pradesh,False
CHAMOLI,Chamoli,100.0,True,Uttarakhand,False
CHAMPAWAT,Champawat,100.0,True,Uttarakhand,False
CHAMPHAI,Champhai,100.0,True,Mizoram,False
CHANDAULI,Chandauli,100.0,True,Uttar Pradesh,False
CHANDEL,Chandel,100.0,True,Manipur,False
CHANDIGARH,Chandigarh,100.0,True,Chandigarh,False
CHANDRAPUR,Chandrapur,100.0,True,Maharashtra,False
CHARAIDEO,,66.66666666666667,False,,False
CHARKI DADRI,,63.1578947368421,False,,False
CHATRA,Chatra,100.0,True,Jharkhand,False
CHENGALPATTU,,60.0,False,,False
CHENNAI,Chennai,100.0,True,Tamil Nadu,False
CHHATARPUR,Chhatarpur,100.0,True,Madhya Pradesh,False
CHHATRAPATI SAMBHAJINAGAR,,59.45945945945945,False,,False
CHHINDWARA,Chhindwara,100.0,True,Madhya Pradesh,False
CHHOTAUDEPUR,Chhota Udaipur,84.61538461538461,True,Gujarat,False
CHIKKABALLAPURA,Chikballapura,92.85714285714286,True,Karnataka,False
CHIKKAMAGALURU,Chikmagalur,88.0,True,Karnataka,False
CHIRANG,Chirang,100.0,True,Assam,False
CHITRADURGA,Chitradurga,100.0,True,Karnataka,False
CHITRAKOOT,Chitrakoot,100.0,True,Uttar Pradesh,False
CHITTAURGARH,Chittaurgarh,100.0,True,Rajasthan,False
CHITTOOR,Chittoor,100.0,True,Andhra Pradesh,False
CHUMOUKEDIMA,,52.63157894736843,False,,False
CHUNGLANG,Changlang,88.88888888888889,True,Arunachal Pradesh,False
CHURACHANDPUR,Churachandpur,100.0,True,Manipur,False
CHURU,Churu,100.0,True,Rajasthan,False
COIMBATORE,Coimbatore,100.0,True,Tamil Nadu,False
CUDDALORE,Cuddalore,100.0,True,Tamil Nadu,False
CUTTACK,Cuttack,100.0,True,Odisha,False
DADRA&NAGAR HAVELI,Dadra and Nagar Haveli,85.0,True,Dadra and Nagar Haveli,False
DAKSHIN BASTAR DANTEWADA,,70.0,False,,False
DAKSHIN DINAJPUR,Dakshin Dinajpur,100.0,True,West Bengal,False
DAKSHIN KANNAD,Dakshina Kannada,93.33333333333333,True,Karnataka,False
DAMAN,Daman,100.0,True,Daman and Diu,False
DAMOH,Damoh,100.0,True,Madhya Pradesh,False
DANGS,,71.42857142857143,False,,False
DARBHANGA,Darbhanga,100.0,True,Bihar,False
DARJILING,Darjiling,100.0,True,West Bengal,False
DARRANG,Darrang,100.0,True,Assam,False
DATIA,Datia,100.0,True,Madhya Pradesh,False
DAUSA,Dausa,100.0,True,Rajasthan,False
DAVANGERE,Davanagere,94.73684210526316,True,Karnataka,False
DEEG,,54.54545454545454,False,,False
DEHRA DUN,Dehradun,94.11764705882352,True,Uttarakhand,False
DEOGARH,Deoghar,85.71428571428572,True,Jharkhand,False
DEOGHAR,Deoghar,100.0,True,Jharkhand,False
DEORIA,Deoria,100.0,True,Uttar Pradesh,False
DEVBHUMI DWARKA,Devbhumi Dwarka,100.0,True,Gujarat,False
DEWAS,Dewas,100.0,True,Madhya Pradesh,False
DHALAI,Dhalai,100.0,True,Tripura,False
DHAMTARI,Dhamtari,100.0,True,Chhattisgarh,False
DHANBAD,Dhanbad,100.0,True,Jharkhand,False
