district_gadm,state_gadm,quarter,year,q,quarter_num,deposits,district_rbi,state_rbi
Agra,Uttar Pradesh,2012Q4,2012,4,36,382,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2013Q1,2013,1,37,399,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2013Q2,2013,2,38,408,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2013Q3,2013,3,39,418,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2013Q4,2013,4,40,425,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2014Q1,2014,1,41,436,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2014Q2,2014,2,42,440,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2014Q3,2014,3,43,448,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2014Q4,2014,4,44,462,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2015Q1,2015,1,45,472,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2015Q2,2015,2,46,475,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2015Q3,2015,3,47,476,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2015Q4,2015,4,48,479,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2016Q1,2016,1,49,485,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2016Q2,2016,2,50,487,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2017Q2,2017,2,51,508,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2017Q3,2017,3,52,506,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2017Q4,2017,4,53,501,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2018Q1,2018,1,54,506,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2018Q2,2018,2,55,511,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2018Q3,2018,3,56,509,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2018Q4,2018,4,57,506,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2019Q1,2019,1,58,503,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2019Q2,2019,2,59,510,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2019Q3,2019,3,60,511,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2019Q4,2019,4,61,514,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2020Q1,2020,1,62,514,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2020Q2,2020,2,63,514,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2020Q3,2020,3,64,517,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2020Q4,2020,4,65,512,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2021Q1,2021,1,66,513,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2021Q2,2021,2,67,509,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2021Q3,2021,3,68,509,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2021Q4,2021,4,69,500,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2022Q1,2022,1,70,502,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2022Q2,2022,2,71,504,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2022Q3,2022,3,72,502,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2022Q4,2022,4,73,504,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2023Q1,2023,1,74,49583.007,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2023Q2,2023,2,75,50522.505,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2023Q3,2023,3,76,52373.8737,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2023Q4,2023,4,77,53604.246499999994,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2024Q1,2024,1,78,56132.5199,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2024Q2,2024,2,79,55928.3882,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2024Q3,2024,3,80,58135.6897,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2024Q4,2024,4,81,58813.852399999996,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2025Q1,2025,1,82,60949.7612,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2025Q2,2025,2,83,61467.206699999995,AGRA,UTTAR PRADESH
Agra,Uttar Pradesh,2025Q3,2025,3,84,63864.03140000001,AGRA,UTTAR PRADESH
Ahmadabad,Gujarat,2004Q1,2004,1,1,579,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2004Q2,2004,2,2,582,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2004Q3,2004,3,3,578,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2004Q4,2004,4,4,583,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2005Q1,2005,1,5,588,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2005Q2,2005,2,6,590,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2005Q3,2005,3,7,589,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2005Q4,2005,4,8,591,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2006Q1,2006,1,9,598,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2006Q2,2006,2,10,603,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2006Q3,2006,3,11,606,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2006Q4,2006,4,12,607,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2007Q1,2007,1,13,615,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2007Q2,2007,2,14,627,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2007Q3,2007,3,15,638,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2007Q4,2007,4,16,650,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2008Q1,2008,1,17,665,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2008Q2,2008,2,18,684,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2008Q3,2008,3,19,696,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2008Q4,2008,4,20,697,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2009Q1,2009,1,21,718,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2009Q2,2009,2,22,728,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2009Q3,2009,3,23,742,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2009Q4,2009,4,24,754,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2010Q1,2010,1,25,765,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2010Q2,2010,2,26,775,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2010Q3,2010,3,27,786,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2010Q4,2010,4,28,804,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2011Q1,2011,1,29,813,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2011Q2,2011,2,30,824,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2011Q3,2011,3,31,834,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2011Q4,2011,4,32,841,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2012Q1,2012,1,33,874,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2012Q2,2012,2,34,894,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2012Q3,2012,3,35,919,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2012Q4,2012,4,36,927,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2013Q1,2013,1,37,934,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2013Q2,2013,2,38,952,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2013Q3,2013,3,39,971,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2013Q4,2013,4,40,978,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2014Q1,2014,1,41,1013,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2014Q2,2014,2,42,1034,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2014Q3,2014,3,43,1050,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2014Q4,2014,4,44,1088,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2015Q1,2015,1,45,1113,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2015Q2,2015,2,46,1118,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2015Q3,2015,3,47,1132,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2015Q4,2015,4,48,1145,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2016Q1,2016,1,49,1160,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2016Q2,2016,2,50,1175,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2017Q2,2017,2,51,1238,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2017Q3,2017,3,52,1230,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2017Q4,2017,4,53,1252,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2018Q1,2018,1,54,1248,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2018Q2,2018,2,55,1250,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2018Q3,2018,3,56,1251,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2018Q4,2018,4,57,1239,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2019Q1,2019,1,58,1248,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2019Q2,2019,2,59,1270,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2019Q3,2019,3,60,1307,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2019Q4,2019,4,61,1329,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2020Q1,2020,1,62,1327,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2020Q2,2020,2,63,1341,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2020Q3,2020,3,64,1349,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2020Q4,2020,4,65,1337,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2021Q1,2021,1,66,1323,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2021Q2,2021,2,67,1331,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2021Q3,2021,3,68,1339,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2021Q4,2021,4,69,1333,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2022Q1,2022,1,70,1339,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2022Q2,2022,2,71,1347,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2022Q3,2022,3,72,1347,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2022Q4,2022,4,73,1360,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2023Q1,2023,1,74,302028.8832,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2023Q2,2023,2,75,314870.9788,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2023Q3,2023,3,76,334413.1981,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2023Q4,2023,4,77,333480.06560000003,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2024Q1,2024,1,78,359328.05110000004,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2024Q2,2024,2,79,350846.993,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2024Q3,2024,3,80,362797.0356,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2024Q4,2024,4,81,364733.815,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2025Q1,2025,1,82,376925.3944,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2025Q2,2025,2,83,377615.5178,AHMEDABAD,GUJARAT
Ahmadabad,Gujarat,2025Q3,2025,3,84,389700.77249999996,AHMEDABAD,GUJARAT
