gadm_district,gadm_state,year,month,mean_radiance,pixel_count
Agra,Uttar Pradesh,2016,6,0.6076120138168335,45962.0
Agra,Uttar Pradesh,2016,7,0.5483367443084717,45819.0
Agra,Uttar Pradesh,2016,8,0.4985309243202209,45961.0
Agra,Uttar Pradesh,2016,9,0.6315730214118958,45962.0
Agra,Uttar Pradesh,2016,10,1.2009564638137815,45962.0
Agra,Uttar Pradesh,2016,11,1.243291258811951,45962.0
Agra,Uttar Pradesh,2016,12,1.0273267030715942,45961.0
Agra,Uttar Pradesh,2017,1,1.0929574966430664,45962.0
Agra,Uttar Pradesh,2017,2,1.3226741552352903,45962.0
Agra,Uttar Pradesh,2017,3,1.1546155214309692,45962.0
Agra,Uttar Pradesh,2017,4,1.0965368747711182,45962.0
Agra,Uttar Pradesh,2017,5,0.8472594618797302,45962.0
Agra,Uttar Pradesh,2017,6,0.8273226022720337,45962.0
Agra,Uttar Pradesh,2017,7,0.6874622702598572,45962.0
Agra,Uttar Pradesh,2017,8,0.7292637228965759,45962.0
Agra,Uttar Pradesh,2017,9,0.899005651473999,45962.0
Agra,Uttar Pradesh,2017,10,1.316354274749756,45962.0
Agra,Uttar Pradesh,2017,11,1.2848782539367676,45962.0
Agra,Uttar Pradesh,2017,12,1.097867488861084,45962.0
Agra,Uttar Pradesh,2018,1,1.105772852897644,45962.0
Agra,Uttar Pradesh,2018,2,1.160679578781128,45962.0
Agra,Uttar Pradesh,2018,3,1.1261008977890017,45962.0
Agra,Uttar Pradesh,2018,4,1.0599850416183472,45962.0
Agra,Uttar Pradesh,2018,5,0.7798574566841125,45962.0
Agra,Uttar Pradesh,2018,6,0.817463755607605,45962.0
Agra,Uttar Pradesh,2018,7,0.6295755505561829,45962.0
Agra,Uttar Pradesh,2018,8,0.6639369130134583,45962.0
Agra,Uttar Pradesh,2018,9,0.7552477121353149,45962.0
Agra,Uttar Pradesh,2018,10,0.9600069522857666,45962.0
Agra,Uttar Pradesh,2018,11,1.377757906913757,45962.0
Agra,Uttar Pradesh,2018,12,1.090750813484192,45962.0
Agra,Uttar Pradesh,2019,1,1.0863213539123535,45962.0
Agra,Uttar Pradesh,2019,2,1.078839898109436,45962.0
Agra,Uttar Pradesh,2019,3,1.1456291675567627,45962.0
Agra,Uttar Pradesh,2019,4,1.0584417581558228,45962.0
Agra,Uttar Pradesh,2019,5,0.9759649634361268,45962.0
Agra,Uttar Pradesh,2019,6,0.7717475891113281,45962.0
Agra,Uttar Pradesh,2019,7,0.7316853404045105,45959.0
Agra,Uttar Pradesh,2019,8,0.6768656373023987,45962.0
Agra,Uttar Pradesh,2019,9,0.5790263414382935,45962.0
Agra,Uttar Pradesh,2019,10,1.078729271888733,45962.0
Agra,Uttar Pradesh,2019,11,0.924310266971588,45962.0
Agra,Uttar Pradesh,2019,12,0.8516691327095032,45962.0
Agra,Uttar Pradesh,2020,1,0.8199973702430725,45962.0
Agra,Uttar Pradesh,2020,2,1.098383545875549,45962.0
Agra,Uttar Pradesh,2020,3,0.9636123776435852,45962.0
Agra,Uttar Pradesh,2020,4,0.9040518403053284,45962.0
Agra,Uttar Pradesh,2020,5,0.8105416893959045,45962.0
Agra,Uttar Pradesh,2020,6,0.7927584648132324,45962.0
Agra,Uttar Pradesh,2020,7,0.7316341996192932,45962.0
Agra,Uttar Pradesh,2020,8,0.6110811233520508,45962.0
Agra,Uttar Pradesh,2020,9,0.7456159591674805,45962.0
Agra,Uttar Pradesh,2020,10,0.8363497853279114,45962.0
Agra,Uttar Pradesh,2020,11,1.0211100578308103,45962.0
Agra,Uttar Pradesh,2020,12,0.9402990341186525,45962.0
Agra,Uttar Pradesh,2021,1,0.8491111993789673,45962.0
Agra,Uttar Pradesh,2021,2,0.9563116431236268,45962.0
Agra,Uttar Pradesh,2021,3,1.000618815422058,45962.0
Agra,Uttar Pradesh,2021,4,1.053999900817871,45962.0
Agra,Uttar Pradesh,2021,5,0.8624147772789001,45962.0
Agra,Uttar Pradesh,2021,6,0.8258805274963379,45962.0
Agra,Uttar Pradesh,2021,7,0.7443294525146484,45962.0
Agra,Uttar Pradesh,2021,8,0.7416333556175232,45962.0
Agra,Uttar Pradesh,2021,9,0.7386382222175598,45962.0
Agra,Uttar Pradesh,2021,10,0.8947356343269348,45962.0
Agra,Uttar Pradesh,2021,11,1.1437363624572754,45962.0
Agra,Uttar Pradesh,2021,12,1.0076340436935425,45962.0
Agra,Uttar Pradesh,2022,1,0.8924597501754761,45962.0
Agra,Uttar Pradesh,2022,2,1.0763989686965942,45962.0
Agra,Uttar Pradesh,2022,3,1.171239972114563,45962.0
Agra,Uttar Pradesh,2022,4,1.072935700416565,45962.0
Agra,Uttar Pradesh,2022,5,0.9275938868522644,45962.0
Agra,Uttar Pradesh,2022,6,0.9275431632995604,45962.0
Agra,Uttar Pradesh,2022,7,0.0227097440510988,45960.0
Agra,Uttar Pradesh,2022,8,0.7967435121536255,45962.0
Agra,Uttar Pradesh,2022,9,0.8725894689559937,45962.0
