DisNo.,Start Year,Start Month,Start Day,Location,Admin Units,districts_final_str
2021-0316-IND,2021,6,1.0,"Bihar, Uttar Pradesh, Gujarat, Kerala, Karnataka, Uttarakhand, Maharashtra, Chhattisgarh, West Bengal, and Tripura states","[{""adm1_code"":1491,""adm1_name"":""Gujarat""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1509,""adm1_name"":""Tripura""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70073,""adm1_name"":""Bihar""},{""adm1_code"":70075,""adm1_name"":""Chhattisgarh""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""}]",Gujarat;Karnataka;Kerala;Maharashtra;Tripura;West Bengal;Bihar;Chhattisgarh;Uttar Pradesh;Uttarakhand
2021-0435-IND,2021,6,1.0,"Pune, Raigada, Satara and Ratnagiri (Maharasthra); Goa, Karnataka, Jharkhand, Bengale, Himachal Pradesh, Uttarakand states","[{""adm1_code"":1490,""adm1_name"":""Goa""},{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70078,""adm1_name"":""Jharkhand""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""},{""adm2_code"":17776,""adm2_name"":""Pune""},{""adm2_code"":17777,""adm2_name"":""Raigarh""},{""adm2_code"":17778,""adm2_name"":""Ratnagiri""},{""adm2_code"":17781,""adm2_name"":""Satara""}]",Pune;Raigarh;Ratnagiri;Satara
2021-0722-IND,2021,11,6.0,Tamil Nadu,"[{""adm1_code"":1508,""adm1_name"":""Tamil Nadu""}]",Tamil Nadu
2021-0748-IND,2021,11,18.0,"Chittoor, Kadapa, Anantapur, Nellore districts (Andhra Pradesh)","[{""adm2_code"":17548,""adm2_name"":""Anantapur""},{""adm2_code"":17549,""adm2_name"":""Chittoor""},{""adm2_code"":17550,""adm2_name"":""Cuddapah""},{""adm2_code"":17561,""adm2_name"":""Nellore""}]",Anantapur;Chittoor;Cuddapah;Nellore
2023-0359-IND,2023,6,26.0,"Mandi, Solan and Hamirpur districts (Himachal Pradesh); Uttarakhand, Punjab, NewDelhi, Haryana","[{""adm1_code"":1489,""adm1_name"":""Delhi""},{""adm1_code"":1492,""adm1_name"":""Haryana""},{""adm1_code"":1505,""adm1_name"":""Punjab""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""},{""adm2_code"":17668,""adm2_name"":""Hamirpur""},{""adm2_code"":17673,""adm2_name"":""Mandi""},{""adm2_code"":17676,""adm2_name"":""Solan""}]",Hamirpur;Mandi;Solan
2016-0276-IND,2016,7,9.0,"Bhopal, Hoshangabad, Rewa, Sagar, Shajapur, Jabalpur, Satna, Harda, Panna, Vidisha, Raisen, Mandla, Tikamgarh, Seoni, Damoh, Sehore, Agar-Malwa districts (Madhya Pradesh province)","[{""adm2_code"":17716,""adm2_name"":""Bhopal""},{""adm2_code"":17720,""adm2_name"":""Damoh""},{""adm2_code"":17728,""adm2_name"":""Hoshangabad""},{""adm2_code"":17730,""adm2_name"":""Jabalpur""},{""adm2_code"":17732,""adm2_name"":""Mandla""},{""adm2_code"":17736,""adm2_name"":""Panna""},{""adm2_code"":17739,""adm2_name"":""Raisen""},{""adm2_code"":17743,""adm2_name"":""Rewa""},{""adm2_code"":17744,""adm2_name"":""Sagar""},{""adm2_code"":17745,""adm2_name"":""Satna""},{""adm2_code"":17746,""adm2_name"":""Sehore""},{""adm2_code"":17747,""adm2_name"":""Seoni""},{""adm2_code"":17749,""adm2_name"":""Shajapur""},{""adm2_code"":17753,""adm2_name"":""Tikamgarh""},{""adm2_code"":17755,""adm2_name"":""Vidisha""},{""adm2_code"":70173,""adm2_name"":""Harda""}]",Bhopal;Damoh;Hoshangabad;Jabalpur;Mandla;Panna;Raisen;Rewa;Sagar;Satna;Sehore;Seoni;Shajapur;Tikamgarh;Vidisha;Harda
2017-0342-IND,2017,8,11.0,"Araria, Jogbani (Bihar); Uttar Pradesh, West Bengal","[{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm2_code"":70094,""adm2_name"":""Araria""}]",Araria
2017-0364-IND,2017,8,29.0,"Mumbai (Dadar, Khar, Bandra, Lalbaug, Kalina, Sion, Byculla, Matunga, Wadala, Parel, Khar-Danda, Pali Hill, Carter Road, Bandra, Ghatkopar, Bhandup, Mulund, and Santacruz), Thane (Maharashtra)","[{""adm2_code"":17783,""adm2_name"":""Thane""},{""adm2_code"":70183,""adm2_name"":""Mumbai Suburban""},{""adm2_code"":70184,""adm2_name"":""Mumbai city""}]",Thane;Mumbai Suburban;Mumbai city
2019-0331-IND,2019,7,14.0,"Sitamarhi, Sheohar, East Champaran, Muzaffarpur, Madhubani, Darbhanga, Supaul, Araria, Sahersa , Katihar, Purnia, Kishanganj districts (Bihar); Dhemaji, Lakhimpur, Biswanath, Barpeta, Chirang, Golaghat Jorhat, Sonitpur, Darrang, Nalbari, Bongaigaon, Morigaon, Nagaon, Majuli, Baksa, Kokrajhar, Dhubri, South Salmara, Goalpara, Kamrup, Hojai, Sivsagar, Tinsukia, Cachar, KarbiAnglrng, West Karbi-Anglong, Hailakandi, Dibrugarh districts (Assam); Maharashtra, Kerala, Rajasthan, West Bengal, Karnataka, Uttarakand, Himachal Pradesh, Punjab, Uttar Pradesh, Odisha","[{""adm1_code"":1493,""adm1_name"":""Himachal Pradesh""},{""adm1_code"":1494,""adm1_name"":""Karnataka""},{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1505,""adm1_name"":""Punjab""},{""adm1_code"":1506,""adm1_name"":""Rajasthan""},{""adm1_code"":1511,""adm1_name"":""West Bengal""},{""adm1_code"":70081,""adm1_name"":""Uttar Pradesh""},{""adm1_code"":70082,""adm1_name"":""Uttarakhand""},{""adm2_code"":17576,""adm2_name"":""Barpeta""},{""adm2_code"":17577,""adm2_name"":""Cachar""},{""adm2_code"":17578,""adm2_name"":""Darrang""},{""adm2_code"":17579,""adm2_name"":""Dhuburi""},{""adm2_code"":17580,""adm2_name"":""Dibrugarh""},{""adm2_code"":17581,""adm2_name"":""Goalpara""},{""adm2_code"":17582,""adm2_name"":""Golaghat""},{""adm2_code"":17583,""adm2_name"":""Kamrup""},{""adm2_code"":17584,""adm2_name"":""Karbi Anglong""},{""adm2_code"":17589,""adm2_name"":""Nagaon""},{""adm2_code"":17590,""adm2_name"":""Nalbari""},{""adm2_code"":17592,""adm2_name"":""Sibsagar""},{""adm2_code"":17593,""adm2_name"":""Sonitpur""},{""adm2_code"":70086,""adm2_name"":""Bongaigaon""},{""adm2_code"":70087,""adm2_name"":""Dhemaji""},{""adm2_code"":70088,""adm2_name"":""Hailakandi""},{""adm2_code"":70089,""adm2_name"":""Jorhat""},{""adm2_code"":70090,""adm2_name"":""Kokrajhar""},{""adm2_code"":70091,""adm2_name"":""Lakhimpur""},{""adm2_code"":70092,""adm2_name"":""Marigaon""},{""adm2_code"":70093,""adm2_name"":""Tinsukia""},{""adm2_code"":17598,""adm2_name"":""Darbhanga""},{""adm2_code"":17608,""adm2_name"":""Katihar""},{""adm2_code"":17611,""adm2_name"":""Madhubani""},{""adm2_code"":17613,""adm2_name"":""Muzaffarpur""},{""adm2_code"":17620,""adm2_name"":""Purba Champaran""},{""adm2_code"":17621,""adm2_name"":""Purnia""},{""adm2_code"":17624,""adm2_name"":""Saharsa""},{""adm2_code"":17630,""adm2_name"":""Sitamarhi""},{""adm2_code"":70094,""adm2_name"":""Araria""},{""adm2_code"":70100,""adm2_name"":""Kishanganj""},{""adm2_code"":70103,""adm2_name"":""Sheohar""},{""adm2_code"":70104,""adm2_name"":""Supaul""}]",Barpeta;Cachar;Darrang;Dhuburi;Dibrugarh;Goalpara;Golaghat;Kamrup;Karbi Anglong;Nagaon;Nalbari;Sibsagar;Sonitpur;Bongaigaon;Dhemaji;Hailakandi;Jorhat;Kokrajhar;Lakhimpur;Marigaon;Tinsukia;Darbhanga;Katihar;Madhubani;Muzaffarpur;Purba Champaran;Purnia;Saharsa;Sitamarhi;Araria;Kishanganj;Sheohar;Supaul
2019-0383-IND,2019,8,12.0,"West Bengal, Kerala, Odisha, Maharashtra","[{""adm1_code"":1495,""adm1_name"":""Kerala""},{""adm1_code"":1498,""adm1_name"":""Maharashtra""},{""adm1_code"":1504,""adm1_name"":""Orissa""},{""adm1_code"":1511,""adm1_name"":""West Bengal""}]",Kerala;Maharashtra;Orissa;West Bengal
